date,end,delta,delta_ratio,isup,avrage,high,low,volume,transation_value,total_value
2022-09-02,2409.41,-6.2,-0.26,1,2427.7,2432.37,2402.67,391599,7214620,1.90E+09
2022-09-01,2415.61,-56.44,-2.28,1,2443,2443.61,2415.61,580021,8452318,1.90E+09
2022-08-31,2472.05,21.12,0.86,0,2433.47,2473.75,2426.14,436247,9562592,1.95E+09
2022-08-30,2450.93,24.04,0.99,0,2441.21,2453.91,2433.48,336555,6826615,1.93E+09
2022-08-29,2426.89,-54.14,-2.18,1,2432.06,2432.89,2417.01,448746,7891467,1.91E+09
2022-08-26,2481.03,3.77,0.15,0,2489.14,2497.76,2476.75,520091,8628665,1.96E+09
2022-08-25,2477.26,29.81,1.22,0,2459.79,2477.26,2455.32,426230,7286329,1.95E+09
2022-08-24,2447.45,12.11,0.5,0,2446.18,2454.01,2430.69,423502,8119784,1.93E+09
2022-08-23,2435.34,-27.16,-1.1,1,2449.31,2454.55,2431.83,471166,7560708,1.92E+09
2022-08-22,2462.5,-30.19,-1.21,1,2467.38,2475.77,2457.08,422552,6108019,1.94E+09
2022-08-19,2492.69,-15.36,-0.61,1,2510.72,2510.72,2492.69,459835,7138648,1.96E+09
2022-08-18,2508.05,-8.42,-0.33,1,2499.3,2515.37,2488.09,381628,7105985,1.98E+09
2022-08-17,2516.47,-17.05,-0.67,1,2536.57,2543.15,2512.01,418053,7153680,1.98E+09
2022-08-16,2533.52,5.58,0.22,0,2543.05,2546.35,2532.2,398335,8064107,2.00E+09
2022-08-12,2527.94,4.16,0.16,0,2519.66,2533.2,2514.31,445547,8028577,1.99E+09
2022-08-11,2523.78,42.9,1.73,0,2507.74,2523.78,2506.41,505246,9710840,1.99E+09
2022-08-10,2480.88,-22.58,-0.9,1,2493.7,2494.15,2478.21,479467,9029482,1.95E+09
2022-08-09,2503.46,10.36,0.42,0,2493.57,2506.49,2481.36,454364,8940803,1.97E+09
2022-08-08,2493.1,2.3,0.09,0,2481.17,2494,2477.76,418234,7613758,1.96E+09
2022-08-05,2490.8,17.69,0.72,0,2481.43,2497.58,2480.05,409776,7561092,1.96E+09
2022-08-04,2473.11,11.66,0.47,0,2478.44,2478.95,2465.32,399965,7506315,1.95E+09
2022-08-03,2461.45,21.83,0.89,0,2438.56,2461.45,2433.12,475302,6751539,1.94E+09
2022-08-02,2439.62,-12.63,-0.52,1,2451,2451.07,2428.76,549924,7266264,1.92E+09
2022-08-01,2452.25,0.75,0.03,0,2444.05,2461.4,2437.13,487160,7509598,1.93E+09
2022-07-29,2451.5,16.23,0.67,0,2453.53,2463.05,2442.01,499369,1.03E+07,1.93E+09
2022-07-28,2435.27,19.74,0.82,0,2437.57,2443.43,2429.07,491073,9196435,1.92E+09
2022-07-27,2415.53,2.57,0.11,0,2412.52,2415.53,2396.19,333588,7049803,1.90E+09
2022-07-26,2412.96,9.27,0.39,0,2397.27,2415.39,2395.17,415671,6240741,1.90E+09
2022-07-25,2403.69,10.55,0.44,0,2385.65,2412.47,2385.65,323091,5959859,1.89E+09
2022-07-22,2393.14,-16.02,-0.66,1,2405.37,2417.91,2391.48,381597,6973851,1.89E+09
2022-07-21,2409.16,22.31,0.93,0,2387.91,2411.96,2387.91,295624,6309071,1.90E+09
2022-07-20,2386.85,15.88,0.67,0,2406.29,2410.06,2382.65,333329,7434804,1.88E+09
2022-07-19,2370.97,-4.28,-0.18,1,2367.52,2372.74,2359.59,339378,6556191,1.87E+09
2022-07-18,2375.25,44.27,1.9,0,2350.48,2376.5,2344.12,324357,7104661,1.87E+09
2022-07-15,2330.98,8.66,0.37,0,2335.12,2337.3,2293.45,319675,7383211,1.84E+09
2022-07-14,2322.32,-6.29,-0.27,1,2316.41,2338.29,2307.69,349138,6539857,1.83E+09
2022-07-13,2328.61,10.85,0.47,0,2324.45,2341.19,2312.49,308806,5998501,1.83E+09
2022-07-12,2317.76,-22.51,-0.96,1,2330.88,2333.02,2303.74,379308,6369258,1.82E+09
2022-07-11,2340.27,-10.34,-0.44,1,2357.43,2363.26,2337.82,377108,6301234,1.84E+09
2022-07-08,2350.61,16.34,0.7,0,2352.49,2367.84,2348.74,411425,7008118,1.85E+09
2022-07-07,2334.27,42.26,1.84,0,2308.97,2344.14,2307.9,340173,7652636,1.84E+09
2022-07-06,2292.01,-49.77,-2.13,1,2330.11,2332.14,2290.33,410732,8919472,1.80E+09
2022-07-05,2341.78,41.44,1.8,0,2322.11,2344.08,2309.62,323905,6890579,1.84E+09
2022-07-04,2300.34,-5.08,-0.22,1,2310.73,2318.31,2276.63,467960,7339365,1.81E+09
2022-07-01,2305.42,-27.22,-1.17,1,2342.92,2354.97,2291.49,530346,8687669,1.81E+09
2022-06-30,2332.64,-45.35,-1.91,1,2368.57,2368.57,2332.59,515396,8923481,1.84E+09
2022-06-29,2377.99,-44.1,-1.82,1,2387.1,2393.25,2375.45,422127,7965810,1.87E+09
2022-06-28,2422.09,20.17,0.84,0,2405.2,2422.1,2393.96,564986,7193434,1.91E+09
2022-06-27,2401.92,35.32,1.49,0,2383.2,2418.94,2365.86,510587,7656358,1.89E+09
2022-06-24,2366.6,52.28,2.26,0,2327.11,2373.48,2319.99,654446,8469156,1.86E+09
2022-06-23,2314.32,-28.49,-1.22,1,2347.84,2361.23,2306.48,749661,1.02E+07,1.82E+09
2022-06-22,2342.81,-66.12,-2.74,1,2417.11,2418.05,2342.81,532139,8690134,1.84E+09
2022-06-21,2408.93,17.9,0.75,0,2402.99,2423.48,2385.6,479678,7440755,1.89E+09
2022-06-20,2391.03,-49.9,-2.04,1,2449.89,2449.89,2372.35,592702,9092289,1.88E+09
2022-06-17,2440.93,-10.48,-0.43,1,2409.72,2441.34,2396.47,634897,1.12E+07,1.92E+09
2022-06-16,2451.41,4.03,0.16,0,2481.66,2500.36,2447.33,584041,9588187,1.93E+09
2022-06-15,2447.38,-45.59,-1.83,1,2490.01,2495.54,2436.04,714143,9936928,1.93E+09
2022-06-14,2492.97,-11.54,-0.46,1,2472.96,2503.17,2457.39,671757,9992820,1.96E+09
2022-06-13,2504.51,-91.36,-3.52,1,2550.21,2550.32,2504.51,660309,1.03E+07,1.97E+09
2022-06-10,2595.87,-29.57,-1.13,1,2596.37,2602.8,2583.74,724090,8285964,2.04E+09
2022-06-09,2625.44,-0.71,-0.03,1,2618.92,2627.88,2606.61,814883,1.09E+07,2.07E+09
2022-06-08,2626.15,-0.19,-0.01,1,2633.53,2639.52,2621.96,576390,7964335,2.07E+09
2022-06-07,2626.34,-44.31,-1.66,1,2659.27,2662.04,2622.78,524710,8948924,2.07E+09
